Titulo-Artista|Letra
A Casa É Sua-Casa Worship|"Você é bem-vindo aqui
A casa é Sua, pode entrar
Me esvazio de mim
Me esvazio de mim Sopra o Teu vento aqui
Toma o Teu trono, vem reinar
Nós queremos Te ouvir
Nós queremos Te ouvir Essa casa é Sua casa
Nós deixamos ela pra Você, Jesus
Essa casa é Sua casa
Nós deixamos ela pra Você, Jesus Essa casa é Sua casa
Nós deixamos ela pra Você, Jesus
Essa casa é Sua casa
Nós deixamos ela pra Você, Jesus Apareça
Que o Teu nome cresça
Enche este lugar
Enche este lugar
Apareça
Que o Teu nome cresça
Vem me incendiar
Vem me incendiar Apareça
Que o Teu nome cresça
Enche este lugar
Enche este lugar
Apareça
Que o Teu nome cresça
Vem me incendiar
Vem me incendiar Essa casa é Sua casa
Nós deixamos ela pra Você, Jesus
Essa casa é Sua casa
Nós deixamos ela pra Você, Jesus Essa casa é Sua casa
Nós deixamos ela pra Você, Jesus
Essa casa é Sua casa
Nós deixamos ela pra Você, Jesus Apareça
Que o Teu nome cresça
Enche este lugar
Enche este lugar
Apareça
Que o Teu nome cresça
Vem me incendiar
Vem me incendiar Apareça
Que o Teu nome cresça
Enche este lugar
Enche este lugar
Apareça
Que o Teu nome cresça
Vem me incendiar
Vem me incendiar Essa casa é Sua casa
Nós deixamos ela pra Você, Jesus Essa casa é Sua casa
Nós deixamos ela pra Você, Jesus
Essa casa é Sua casa
Nós deixamos ela pra Você, Jesus Essa casa é Sua casa
Nós deixamos ela pra Você, Jesus
Essa casa é Sua casa
Nós deixamos ela pra Você, Jesus Apareça
Que o Teu nome cresça
Enche este lugar
Enche este lugar
Apareça
Que o Teu nome cresça
Vem me incendiar
Vem me incendiar Essa casa é Sua casa
Nós deixamos ela pra Você"
Árvore Cortada-Valesca Mayssa|"Cortaram a árvore cheia de vida, cortaram
E os frutos que ela produzia se acabaram
E chega alguém e diz: Acabou a história aqui Mas ainda bem que a resposta vem do céu
E a última palavra
Quem determina ainda é Deus
Alguém diz: Só restou raiz
Mas Deus diz: Tem vida aí, e eu vou restituir Há esperança para a árvore cortada
Novamente crescerá ao cheiro das águas
E se caso envelheceu na terra a sua raiz
Ou se o seu tronco morreu
Ouça bem o que Deus diz Ainda há esperança, a alegria vai chegar
E tudo novamente irá voltar ao seu lugar
A água já está presente, e vai começar regar
Vai ser tão lindo o testemunho que você irá contar
Eu fui uma árvore cortada, mas ao cheiro das águas
Vi Deus minha vida restaurar Mas ainda bem que a resposta vem do céu
E a última palavra quem determina ainda é Deus
Alguém diz: Só restou raiz
Mas Deus diz: tem vida aí, e eu vou restituir! Ainda há esperança para a árvore cortada
Novamente crescerá ao cheiro das águas
E se caso envelheceu na terra a sua raiz
Ou se o seu tronco morreu, ouça bem o que Deus diz Ainda há esperança, a alegria vai chegar
E tudo novamente irá voltar ao seu lugar
A água já está presente, e vai começar regar
Vai ser tão lindo o testemunho que você irá contar, dizendo
Eu fui uma árvore cortada, mas ao cheiro das águas
Vi Deus minha vida restaurar Restaurou meus sonhos, restaurou a minha fé
E sobre a minha saúde Ele me colocou de pé
Restaurou a minha casa e toda a minha família
E hoje todos nós o servimos com alegria E toda vez que eu escutava alguém dizer
Até tinha estrutura, mas veio a morrer
E lembrava da promessa pra não desanimar
Essa promessa me dizia, esta promessa me garantia Que ainda há esperança para a árvore cortada
Novamente crescerá ao cheiro das águas
E se caso envelheceu na terra a sua raiz
Ou se o seu tronco morreu, ouça a voz de Deus que diz Ainda há esperança, a alegria vai chegar
E tudo novamente irá voltar ao seu lugar
É que a água, está presente, e vai começar regar
Vai ser tão lindo o testemunho que você irá contar
Eu fui uma árvore cortada, mas ao cheiro das águas
Vi Deus minha vida restaurar Eu fui uma árvore cortada, mas ao cheiro das águas
Vi meu ministério Deus levantar
Eu fui uma árvore cortada, mas ao cheiro das águas
Vi na minha saúde Deus tocar
Eu fui, eu fui, eu fui
Eu fui uma árvore cortada, mas ao cheiro das águas
Vi minha família Deus salvar"
Vagalumes (part. Ivo Mozart)-Pollo|"Vou caçar mais de um milhão de vagalumes por aí
Pra te ver sorrir, eu posso colorir o céu de outra cor
Eu só quero amar você e quando amanhecer
Eu quero acordar do seu lado Vou escrever mais de um milhão de canções pra você ouvir
Que meu amor é teu, teu sorriso me faz sorrir
Eu vou de Marte até a Lua, cê sabe, já tô na tua
E não cabe tanta saudade, essa verdade nua e crua Eu sei o que eu faço, nosso caminho, eu traço
Um casal fora da lei, ocupando o mesmo espaço
Se eu tô contigo, não ligo se o Sol não aparecer
É que não faz sentido caminhar sem dar a mão pra você Teu sonho impossível vai ser realidade
Sei que o mundo tá terrível
Mas não vai ser a maldade que
Vai me tirar de você, eu faço você ver
Pra tu sorrir, eu faço o mundo inteiro saber que eu Vou caçar mais de um milhão de vagalumes por aí
Pra te ver sorrir, eu posso colorir o céu de outra cor
Eu só quero amar você e quando amanhecer
Eu quero acordar do seu lado Pra ter o teu sorriso, eu descubro o paraíso
É só ver sua boca que eu perco o juízo por inteiro
Sentimento verdadeiro, eu e você
Ao som de Janelle Monáe, vem, deixa acontecer E me abraça, que o tempo não passa quando cê tá perto
Dá a mão e vem comigo, que eu vejo como eu tô certo
Eu digo que te amo, cê pede algo impossível
Levanta da sua cama, hoje o céu está incrível (incrível) Vou caçar mais de um milhão de vagalumes por aí
E pra te ver sorrir, eu posso colorir o céu de outra cor
Eu só quero amar você e quando amanhecer
Eu quero acordar do seu lado Faço dos teus braços um lugar mais seguro
Procurei paz em outro abraço, eu não achei, eu juro
Saio do compasso, passo apuros, o que vier
Abro a janela pra que você possa ver Vou caçar mais de um milhão de vagalumes por aí
Pra te ver sorrir, eu posso colorir o céu de outra cor
Eu só quero amar você e quando amanhecer
Eu quero acordar do seu lado"
Salmo 44: À Vossa Direita Se Encontra a Rainha, Com Veste Esplendente de Ouro de Ofir-O Salmista|"À vossa direita se encontra a rainha
Com veste esplendente de ouro de Ofir
À vossa direita se encontra a rainha
Com veste esplendente de ouro de Ofir As filhas de reis vêm ao vosso encontro
E à vossa direita se encontra a rainha
Com veste esplendente de ouro de Ofir
Com veste esplendente de ouro de Ofir À vossa direita se encontra a rainha
Com veste esplendente de ouro de Ofir Escutai, minha filha, olhai, ouvi isto
Esquecei vosso povo e a casa paterna
Que o rei se encante com vossa beleza
Prestai-lhe homenagem: É vosso Senhor À vossa direita se encontra a rainha
Com veste esplendente de ouro de Ofir Entre cantos de festa e com grande alegria
Ingressam, então, no palácio real
Entre cantos de festa e com grande alegria
Ingressam, então, no palácio real À vossa direita se encontra a rainha
Com veste esplendente de ouro de Ofir
À vossa direita se encontra a rainha
Com veste esplendente de ouro de Ofir"
Every Breath You Take-The Police|"Every breath you take
And every move you make
Every bond you break
Every step you take
I'll be watching you Every single day
Every word you say
Every game you play
Every night you stay
I'll be watching you Oh, can't you see
You belong to me?
How my poor heart aches
With every step you take? Every move you make
And every vow you break
Every smile you fake
Every claim you stake
I'll be watching you Since you've gone, I've been lost without a trace
I dream at night, I can only see your face
I look around, but it's you I can't replace
I feel so cold and I long for your embrace
I keep crying: Baby, baby, please Mmm, mmm, mmm, mmm
Mmm, mmm, mmm Oh, can't you see
You belong to me?
How my poor heart aches
With every step you take? Every move you make
And every vow you break
Every smile you fake
Every claim you stake
I'll be watching you Every move you make
Every step you take
I'll be watching you I'll be watching you
(Every breath you take)
(Every move you make)
(Every bond you break)
(Every step you take) I'll be watching you
(Every single day)
(Every word you say)
(Every game you play)
(Every night you stay) I'll be watching you
(Every move you make)
(Every vow you break)
(Every smile you fake)
(Every claim you stake) I'll be watching you
(Every single day)
(Every word you say)
(Every game you play)
(Every night you stay) I'll be watching you
(Every breath you take)
(Every move you make)
(Every bond you break)
(Every step you take) I'll be watching you
(Every single day)
(Every word you say)
(Every game you—)"
Love Songs-Kaash Paige|"I miss my cocoa butter kisses
Hope you smile when you listen
Ain't no competition, just competing for attention
And you like: I'm not on no games
Well, baby, I been peeping and you ain't been the same
Like, who been on your mind? Who got your time?
Who you been vibing with and why I can't make you mine?
You used to be texting me, checking me, calling me your slime
And now you treat me like my worth less than a dime And if we paint a perfect picture, we can make it last forever
And you the only one I want to wear my orange sweater
I told you I am down for the worse or the better
But I keep sticking to you 'cause them four stupid letters You got me singing love songs (love songs, love songs)
You got me singing love songs (love songs, love songs)
You got me singing love songs (love songs, love songs)
You got me singing love songs (love songs, love songs) You got me singing love songs
Oh, this the type of song you tip on four fours and pour up song
Yeah, that make you fall in love song
That: Hey, bighead, what you on?
Make you hit me up song
Double cupped, but, bae, I'm leaning on you
You been playing games, I'm tryna make you my boo
I don't duck no action, you bust one and I bust two
Pills of satisfaction, I take the red, you pop the blue And if we paint a perfect picture, we can make it last forever
And you the only one I want to wear my orange sweater
I told you I am down for the worse or the better
But I keep sticking to you 'cause them four stupid letters You got me singing love songs (love songs, love songs)
You got me singing love songs (love songs, love songs)
You got me singing love songs (love songs, love songs)
You got me singing love songs (love songs, love songs)"
Consagração À Nossa Senhora-Músicas Católicas|"Ó, Minha Senhora e também minha Mãe
Eu me ofereço, inteiramente, todo a Vós
E em prova da minha devoção, eu hoje Vos dou meu coração Consagro a Vós meus olhos, meus ouvidos, minha boca
Tudo o que sou, desejo que a Vós pertença
Incomparável Mãe, guardai-me e defendei-me
Como filho e propriedade Vossa, amém
Como filho e propriedade Vossa, amém Ó, Minha Senhora e também minha Mãe
Eu me ofereço, inteiramente, todo a Vós
E em prova da minha devoção, eu hoje Vos dou meu coração Consagro a Vós meus olhos, meus ouvidos, minha boca
Tudo o que sou, desejo que a Vós pertença
Incomparável Mãe, guardai-me e defendei-me
Como filho e propriedade Vossa, amém
Como filho e propriedade Vossa, amém"
Maria da Assunção-Coral Palestrina|"Maria, concebida sem culpa original (ave, ave Maria)
Trouxeste a luz da vida na noite de Natal (ave, ave Maria)
Tu foste imaculada na tua conceição (ave, ave Maria)
Ó, mãe predestinada da nova criação (ave, ave Maria) Maria da Assunção, escuta a nossa voz
E pede proteção a cada um de nós
Maria da Assunção, escuta a nossa voz
E pede proteção a cada um de nós Maria, mãe querida, sinal do eterno amor
No ventre deste a vida e corpo ao Salvador
Ao céu foste elevada por anjos do Senhor
Na glória coroada, coberta de esplendor Maria da Assunção, escuta a nossa voz
E pede proteção a cada um de nós
Maria da Assunção, escuta a nossa voz
E pede proteção a cada um de nós Maria, mãe rainha, protege com teu véu (ave, ave Maria)
O povo que caminha na direção do céu (ave, ave Maria)
Tu foste a maravilha das obras do Senhor (ave, ave Maria)
Esposa, mãe e filha do mesmo Deus de amor (ave, ave Maria) Maria da Assunção, escuta a nossa voz
E pede proteção a cada um de nós
Maria da Assunção, escuta a nossa voz
E pede proteção a cada um de nós"
Eu e Minha Casa Serviremos Ao Senhor-Monsenhor Jonas Abib|"Eu e minha casa serviremos ao Senhor
Eu e minha casa serviremos ao Senhor Deus não quer nos condenar
Quer de nós uma decisão
Para o nosso bem, pra nos salvar
Pergunta hoje, então A quem você quer servir?
A quem você quer servir?
A quem você quer servir?
A quem você quer servir? Eu e minha casa serviremos ao Senhor
Eu e minha casa serviremos ao Senhor O pecado quer nos dominar
E Deus quer nos santificar
É preciso decidir
Ser de Deus, não me enganar A quem você quer servir?
A quem você quer servir?
A quem você quer servir?
A quem você quer servir? Eu e minha casa serviremos ao Senhor
Eu e minha casa serviremos ao Senhor"
Por Causa Dele (part. Jessé Aguiar)-Kellen Byanca|"Por mim eu parava agora
O cansaço me atingiu e eu desacelerei
O ânimo em mim sumiu e eu parei
Parei para respirar um pouco e não desistir
Mas mesmo assim Por mim eu parava agora
Meu coração entrou em alerta, ficou exausto
Eu sinto um medo que me aperta e me deixa assustado
Por mim eu já teria há tempos parado Mas toda vez que eu tô cansado Jesus me abastece e me deixa claro
Que Ele não quer me ver prostrado, é difícil, cansativo, mas Ele está lado a lado
Me enviando qualquer recurso, me aliviando e me deixando mais seguro
E toda vez que eu quero parar, Ele aparece pra me fazer avançar
Por mim eu já teria desistido, mas por Ele eu chego lá Foi por causa d'Ele que eu ainda não parei, nem desisti
Foi por causa d'Ele que eu levantei e decidi seguir
E é por causa d'Ele que eu ainda continuo a lutar
Por causa de Jesus, que sempre me conduz, eu sei que eu chego lá
Porque quando eu não der conta Ele vai me ajudar Mas toda vez que eu tô cansado Jesus me abastece e me deixa claro
Que Ele não quer me ver prostrado, é difícil, cansativo, mas ele está lado a lado
Me enviando qualquer recurso, me aliviando e me deixando mais seguro
E toda vez que eu quero parar, Ele aparece pra me fazer avançar
Por mim eu já teria desistido, mas por Ele eu chego lá Foi por causa d'Ele que eu ainda não parei, nem desisti
Foi por causa d'Ele que eu levantei e decidi seguir
E é por causa d'Ele que eu ainda continuo a lutar
Por causa de Jesus, que sempre me conduz, eu sei que eu chego lá
Porque quando eu não der conta Ele vai me ajudar Foi por causa d'Ele que eu não parei
Foi por causa d'Ele que eu não desisti
E é por causa d'Ele que eu estou aqui, dizendo que
É por causa d'Ele, é por causa d'Ele É por causa d'Ele que eu não parei
É por causa d'Ele que eu não desisti
É por causa d'Ele que estou aqui, dizendo que
É por causa d'Ele, é por causa d'Ele Foi por causa d'Ele que eu ainda não parei, nem desisti
Foi por causa d'Ele que eu levantei e decidi seguir
E é por causa d'Ele que eu ainda continuo a lutar
Por causa de Jesus, que sempre me conduz, eu sei que eu chego lá
Porque quando eu não der conta Ele vai me ajudar Foi por causa d'Ele que eu não parei
Foi por causa d'Ele que eu não desisti
E é por causa d'Ele que eu estou aqui, dizendo que
É por causa d'Ele, é por causa d'Ele"
Deus Forte / Divisa de Fogo / Jacó Segurou o Anjo / Joquebede (Corinhos de Fogo) (medley)-Banda Som e Louvor|"Deus forte como Jeová
Não há outro que eu conheça
Deus forte como Jeová
Não há outro que eu conheça Deus de vitória, varão de guerra
Deus poderoso é o Senhor
Deus de vitória, varão de guerra
Deus poderoso é o Senhor Eu sou canela de fogo
Reteté de Jeová
Estou nadando no azeite
Não consigo parar Eu sou canela de fogo
Reteté de Jeová
Estou nadando no azeite
Não consigo parar É labareda, é labareda de fogo
É labareda, é labareda de fogo
É labareda, é labareda de fogo
É fogo puro, é por isso que eu não mudo
E não paro de adorar Divisa de fogo, varão de guerra
Ele desceu na Terra, Ele chegou pra guerrear
Divisa de fogo, varão de guerra
Ele desceu na Terra, Ele chegou pra guerrear Divisa de fogo, varão de guerra
Ele desceu na Terra, Ele chegou pra guerrear
Divisa de fogo, varão de guerra
Ele desceu na Terra, Ele chegou pra guerrear Onde, onde está teu Deus?
Onde, onde Ele está?
Onde, onde está teu Deus?
Onde, onde Ele está? O meu Deus está no céu
Também no meu coração
O do mundo está morto
Mas o meu ressuscitou O meu Deus está no céu
Também no meu coração
O do mundo está morto
Mas o meu ressuscitou Jacó segurou o anjo
Segurou anjo e não deixou subir
Jacó segurou o anjo
Segurou anjo e não deixou subir E o anjo lhe perguntou
O que queres que eu te faça?
Jacó, então, respondeu
Me dá minha bênção pra depois subir Me dá minha bênção pra depois subir
Me dá minha bênção pra depois subir
Me dá minha bênção pra depois subir
Me dá minha bênção pra depois subir Me dá minha bênção pra depois subir
Me dá minha bênção pra depois subir
Me dá minha bênção pra depois subir
Me dá minha bênção pra depois subir Ô Joquebede, Moisés não vai morrer
Eu posso ouvir o choro do bebê
Ô Joquebede, Moisés não vai morrer
Eu posso ouvir o choro do bebê Ô Joquebede, Moisés não vai morrer
Eu posso ouvir o choro do bebê
Ô Joquebede, Moisés não vai morrer
Eu posso ouvir o choro do bebê"
Quarta Cadeira (part. Jorge e Mateus)-Matheus e Kauan|"Tá viciando outra boca, como fez com a minha
Esse frio na barriga já me pertenceu
Ele só tá te amando desse jeito
Porque ainda não te conheceu direito
Mas o fim dessa história é sempre o mesmo Ela vai dar sorrisos durante o beijo
Você vai gostar
Vai planejar uma vida deitada em seu peito
Cê vai acreditar
Vai te amarrar de um jeito
Vai usar o mesmo beijo que usou pra te ganhar
Pra se despedir sem se explicar Tô numa mesa com quatro cadeiras
Aqui já tem três enganados por ela
Bebendo, esperando a rasteira que você vai levar dela
Fica tranquilo, que a quarta cadeira te espera Tô numa mesa com quatro cadeiras
Aqui já tem três enganados por ela
Bebendo, esperando a rasteira que você vai levar dela
Fica tranquilo, que a quarta cadeira te espera Não adianta se iludir
Seu copo já tá cheio aqui pra te acudir Tá viciando outra boca, como fez com a minha
Esse frio na barriga já me pertenceu
Ele só tá te amando desse jeito
Porque ainda não te conheceu direito
Mas o fim dessa história é sempre o mesmo Ela vai dar sorrisos durante o beijo
Você vai gostar
Vai planejar a vida deitada em seu peito
Cê vai acreditar
Vai te amarrar de um jeito
Vai usar o mesmo beijo que usou pra te ganhar
Pra se despedir sem se explicar Tô numa mesa com quatro cadeiras
Aqui já tem três enganados por ela
Bebendo, esperando a rasteira que você vai levar dela
Fica tranquilo, que a quarta cadeira te espera Eu tô numa mesa com quatro cadeiras
Aqui já tem três enganados por ela
Bebendo, esperando a rasteira que você vai levar dela
Fica tranquilo, que a quarta cadeira te espera Não adianta se iludir
Seu copo já tá cheio aqui pra te acudir
Não adianta se iludir
Seu copo já tá cheio aqui pra te acudir
Pra te acudir, pra te acudir"
Deus Dos Deuses-Lauriete|"Existe um Deus no céu
Que a letra no papel não pode descrever
Não dá pra imaginar
Não dá pra comparar o Seu grande poder Ele faz o que Ele quer
Soberano e forte até o infinito
Ganha a luta sem lutar
Vence a luta e faz cansar o inimigo Jeová, Deus de vida, de vitória
Jeová, Deus de paz, Deus de glória
Jeová, vai mudar a tua história hoje aqui (hoje aqui) Quando Deus quer fazer, ninguém pode parar
Quando manda mensagem, faz profeta entregar
Faz a nuvem descer, faz a água subir
E se Ele soprar, faz o inferno explodir Ele sempre resolve sem ter reunião
Pega o homem sem Deus e derrama unção
O seu braço é capaz de parar um trovão
Este é o Deus dos deuses, meu irmão Ele faz o que Ele quer
Soberano e forte até o infinito (até o infinito)
Ganha a luta sem lutar
Vence a luta e faz cansar o inimigo Jeová, Deus de vida, de vitória
Jeová, Deus de paz, Deus de glória
Jeová, vai mudar a tua história hoje aqui (hoje aqui) Quando Deus quer fazer, ninguém pode parar
Quando manda mensagem, faz profeta entregar
Faz a nuvem descer, faz a água subir
E se Ele soprar, faz o inferno explodir Ele sempre resolve sem ter reunião
Pega o homem sem Deus e derrama unção
O seu braço é capaz de parar um trovão
Este é o Deus dos deuses Quando Deus quer fazer, ninguém pode parar
Quando manda mensagem, faz profeta entregar
Faz a nuvem descer, faz a água subir
E se Ele soprar, faz o inferno explodir Ele sempre resolve sem ter reunião
Pega o homem sem Deus e derrama unção
O seu braço é capaz de parar um trovão
Este é o Deus dos deuses, meu irmão Este é o Deus dos deuses (Deus dos deuses)
Este é o Deus dos deuses
Oh, meu irmão"
No Cume-Falcão|"Ai! No alto daquele cume
Plantei uma roseira
O vento no cume bate
A rosa no cume cheira Quando vem a chuva fina
Salpicos no cume caem
Formigas no cume entram
Abelhas do cume saem Quando cai a chuva grossa
A água do cume desce
O barro do cume escorre
O mato no cume cresce Então, quando cessa a chuva
No cume volta a alegria
Pois torna a brilhar de novo
O Sol que no cume ardia No alto daquele cume
Plantei uma roseira
O vento no cume bate
A rosa no cume cheira Quando vem a chuva fina
Salpicos no cume caem
Formigas no cume entram
Abelhas do cume saem Quando cai a chuva grossa
A água do cume desce
O barro do cume escorre
O mato no cume cresce Então, quando cessa a chuva
No cume volta a alegria
Pois torna a brilhar de novo
O Sol que no cume ardia Pois torna a brilhar de novo
O Sol que no cume ardia
Pois torna a brilhar de novo
O Sol que no cume ardia"
In The End-Linkin Park|"(It starts with one) One thing, I don't know why
It doesn't even matter how hard you try
Keep that in mind, I designed this rhyme
To explain in due time (all I know) Time is a valuable thing
Watch it fly by as the pendulum swings
Watch it count down to the end of the day
The clock ticks life away, it's so unreal (it's so unreal) You didn't look out below
Watch the time go right out the window
Trying to hold on, to didn't even know
I wasted it all just to watch you go (watch you go) I kept everything inside
And even though I tried, it all fell apart
What it meant to me will eventually
Be a memory of a time when I tried so hard and got so far
But in the end, it doesn't even matter
I had to fall to lose it all
But in the end, it doesn't even matter One thing, I don't know why
It doesn't even matter how hard you try
Keep that in mind I designed this rhyme
To remind myself how I tried so hard (I tried so hard) In spite of the way you were mocking me
Acting like I was part of your property
Remembering all the times you fought with me
I'm surprised it got so far (got so far) Things aren't the way they were before
You wouldn't even recognize me anymore
Not that you knew me back then
But it all comes back to me (in the end) You kept everything inside
And even though I tried, it all fell apart
What it meant to me will eventually
Be a memory of a time when I tried so hard and got so far
But in the end, it doesn't even matter
I had to fall to lose it all
But in the end, it doesn't even matter I've put my trust in you
Pushed as far as I can go
For all this
There's only one thing you should know I've put my trust in you
Pushed as far as I can go
For all this
There's only one thing you should know I tried so hard and got so far
But in the end, it doesn't even matter
I had to fall to lose it all
But in the end, it doesn't even matter"
Ousado Amor-Isaías Saad|"Antes de eu falar
Tu cantavas sobre mim
Tu tens sido tão,  tão bom pra mim
Antes de eu respirar
Sopraste Tua vida em mim
Tu tens sido tão, tão bom pra mim Oh, impressionante, infinito
E ousado amor de Deus
Oh, que deixa as noventa e nove
Só pra me encontrar Não posso comprá-lo
Nem merecê-lo
Mesmo assim se entregou
Oh, impressionante, infinito
E ousado amor de Deus Inimigo eu fui
Mas Teu amor lutou por mim
Tu tens sido tão, tão bom pra mim
Não tinha valor
Mas tudo pagou por mim
Tu tens sido tão, tão bom pra mim Oh, impressionante, infinito
E ousado amor de Deus
Oh, que deixa as noventa e nove
Só pra me encontrar Não posso comprá-lo
Nem merecê-lo
Mesmo assim se entregou
Oh, impressionante, infinito
E ousado amor de Deus Traz luz para as sombras
Escala montanhas
Pra me encontrar
Derruba muralhas
Destrói as mentiras
Pra me encontrar Traz luz para as sombras
Escala montanhas
Pra me encontrar
Derruba muralhas
Destrói as mentiras
Pra me encontrar Traz luz para as sombras
Escala montanhas
Pra me encontrar
Derruba muralhas
Destrói as mentiras
Pra me encontrar Traz luz para as sombras
Escala montanhas
Pra me encontrar
Derruba muralhas
Destrói as mentiras
Pra me encontrar Oh, impressionante, infinito
E ousado amor de Deus
Oh, que deixa as noventa e nove
Só pra me encontrar Não posso comprá-lo
Nem merecê-lo
Mesmo assim se entregou
Oh, impressionante, infinito
E ousado amor de Deus"
Nothing Else Matters-Metallica|"So close, no matter how far
Couldn't be much more from the heart
Forever trusting who we are
And nothing else matters Never opened myself this way
Life is ours, we live it our way
All these words I don't just say
And nothing else matters Trust I seek and I find in you
Every day for us, something new
Open mind for a different view
And nothing else matters Never cared for what they do
Never cared for what they know
But I know So close, no matter how far
It couldn't be much more from the heart
Forever trusting who we are
And nothing else matters Never cared for what they do
Never cared for what they know
But I know I never opened myself this way
Life is ours, we live it our way
All these words I don't just say
And nothing else matters Trust I seek and I find in you
Every day for us, something new
Open mind for a different view
And nothing else matters Never cared for what they say
Never cared for games they play
Never cared for what they do
Never cared for what they know
And I know So close, no matter how far
Couldn't be much more from the heart
Forever trusting who we are
No, nothing else matters"
What Was I Made For?-Billie Eilish|"Mmm, mmm
Mmm I used to float, now I just fall down
I used to know, but I'm not sure now
What I was made for
What was I made for? Taking a drive, I was an ideal
Looked so alive, turns out, I'm not real
Just something you paid for
What was I made for? Mmm 'Cause I, I
I don't know how to feel
But I wanna try
I don't know how to feel
But someday I might
Someday I might Mmm, mmm, ah-mmm
Mmm, mmm, mmm When did it end? All the enjoyment
I'm sad again, don't tell my boyfriend
It's not what he's made for
What was I made for? 'Cause I, 'cause I
I don't know how to feel
But I wanna try
I don't know how to feel
But someday I might
Someday I might Think I forgot how to be happy
Something I'm not, but something I can be
Something I wait for
Something I'm made for
Something I'm made for"
Born To Die-Lana Del Rey|"Why?
Who? Me?
Why? Feet, don't fail me now
Take me to the finish line
Oh, my heart, it breaks every step that I take
But I'm hoping at the gates
They'll tell me that you're mine Walking through the city streets
Is it by mistake or design?
I feel so alone on a Friday night
Can you make it feel like home if I tell you you're mine?
It's like I told you, honey Don't make me sad, don't make me cry
Sometimes love is not enough and the road gets tough
I don't know why
Keep making me laugh, let's go get high
The road is long, we carry on
Try to have fun in the meantime Come and take a walk on the wild side
Let me kiss you hard in the pouring rain
You like your girls insane Choose your last words, this is the last time
'Cause you and I
We were born to die Lost, but now I am found
I can see that once I was blind
I was so confused as a little child
Tried to take what I could get, scared that I couldn't find
All the answers I need Don't make me sad, don't make me cry
Sometimes love is not enough and the road gets tough
I don't know why
Keep making me laugh, let's go get high
The road is long, we carry on
Try to have fun in the meantime Come and take a walk on the wild side
Let me kiss you hard in the pouring rain
You like your girls insane Choose your last words, this is the last time
'Cause you and I
We were born to die (We were born, we were born, we were born)
We were born to die
(We were born, we were born, we were born)
We were born to die Come and take a walk on the wild side
Let me kiss you hard in the pouring rain
You like your girls insane So don't make me sad, don't make me cry
Sometimes love is not enough and the road gets tough
I don't know why
Keep making me laugh, let's go get high
The road is long, we carry on
Try to have fun in the meantime Come and take a walk on the wild side
Let me kiss you hard in the pouring rain
You like your girls insane Choose your last words, this is the last time
'Cause you and I
We were born to die (We were born, we were born, we were born)
We were born to die
(We were born, we were born, we were born)
(We were born, we were born, we were born) why?
(We were born, we were born, we were born) who? Me?
(We were born, we were born, we were born) why? (Louder)"
Ao Estrugir a Trombeta-Harpa Cristã|"Quando a angelical trombeta neste mundo estrugir
O meu nome ouvirei Jesus chamar
Pois eu creio na promessa e que Deus a vai cumprir
Quando ouvir Jesus meu nome proclamar Glória, glória e aleluia!
O meu nome ouvirei Jesus chamar
Glória, glória e aleluia!
Eu espero ouvir Jesus a me chamar Quando o céu for enrolado e o Sol não der mais luz
O meu nome ouvirei Jesus chamar
Passarão a terra, o mar, mas permanecerá Jesus
Que o meu nome vai na glória pronunciar Glória, glória, aleluia!
O meu nome ouvirei Jesus chamar
Glória, glória e aleluia!
Eu espero ouvir Jesus a me chamar Oh, que música suave há de ser pra eu ouvir
O meu nome Jesus Cristo anunciar
Oh, que gozo vai minha alma lá nos altos céus fruir
Quando o Cristo o meu nome proclamar Glória, glória, aleluia!
O meu nome ouvirei Jesus chamar
Glória, glória, aleluia!
Eu espero ouvir Jesus a me chamar"
